,InA,OutA,InB,OutB,InC,OutC,f1,f2,f3,NetP,NetS,f1/f2,f1/f3,log2(InTT)
64,2.0,3.0,3.0,3.0,2.0,4.0,0.6598515474849228,0.309646099807807,0.0305023527072701,E:2N,10N,2.130986141580609,21.63280825638247,2.807354922057604
65,3.0,3.0,6.0,4.0,2.0,4.0,0.5691365088447051,0.3912649597101034,0.0395985314451914,E:2N,10N,1.4546063855715334,14.37266706803132,3.4594316186372973
66,3.0,3.0,2.0,3.0,2.0,3.0,0.66011192046769,0.318817019414137,0.021071060118173,E:2N,10N,2.070504020396156,31.32789317507419,2.807354922057604
67,3.0,3.0,4.0,3.0,4.0,4.0,0.5356857764876632,0.4177068214804064,0.0466074020319303,E:2N,10N,1.282444405837387,11.493577267419237,3.4594316186372973
68,3.0,3.0,4.0,3.0,3.0,3.0,0.5645933942320747,0.4076142821124493,0.027792323655476,E:2N,10N,1.3851168102012656,20.314724354501074,3.321928094887362
69,2.0,4.0,3.0,3.0,2.0,3.0,0.6304572697678664,0.3424199093370653,0.0271228208950683,E:2N,10N,1.8411816970235455,23.244531688166017,2.807354922057604
70,4.0,4.0,4.0,3.0,3.0,4.0,0.5042276847977685,0.4559216643421664,0.039850650860065,E:2N,10N,1.1059524568223822,12.652934742982163,3.4594316186372973
71,5.0,3.0,5.0,4.0,4.0,4.0,0.5189791400442757,0.4410107809434675,0.0400100790122568,E:2N,10N,1.1767946782026693,12.971210076473236,3.807354922057604
72,2.0,3.0,4.0,4.0,5.0,4.0,0.5726749203659245,0.3897597640006904,0.0375653156333851,E:2N,10N,1.4693023068561537,15.24477861319967,3.4594316186372973
73,3.0,4.0,4.0,3.0,3.0,3.0,0.5345168448658463,0.4231188218680654,0.0423643332660883,E:2N,10N,1.263278344617145,12.617142857142875,3.321928094887362
74,2.0,4.0,2.0,4.0,4.0,3.0,0.577524699998641,0.3796529089599499,0.042822391041409,E:2N,10N,1.521191294387171,13.486512218343389,3.0
75,5.0,3.0,3.0,5.0,2.0,3.0,0.6206512295546406,0.3486382351830167,0.0307105352623427,E:2N,10N,1.780215612980118,20.209717097171016,3.321928094887362
76,3.0,3.0,3.0,4.0,3.0,4.0,0.5160319872296665,0.43505088179767,0.0489171309726635,E:2N,10N,1.186141687835168,10.54910574207719,3.169925001442312
77,2.0,3.0,3.0,4.0,3.0,3.0,0.5592940922112318,0.3970731311820982,0.0436327766066699,E:2N,10N,1.4085417730134424,12.818209972127597,3.0
78,4.0,4.0,3.0,4.0,3.0,3.0,0.5595371650708341,0.4092071277622687,0.0312557071668971,E:2N,10N,1.367369058624757,17.90191986644409,3.321928094887362
79,3.0,3.0,4.0,3.0,2.0,3.0,0.5978479122689595,0.3765810293638126,0.0255710583672278,E:2N,10N,1.5875677892722055,23.37986577181213,3.169925001442312
80,4.0,4.0,2.0,3.0,3.0,3.0,0.5144194244385693,0.4465311331935454,0.0390494423678852,E:2N,10N,1.1520348441540764,13.173540856031146,3.169925001442312
81,3.0,3.0,5.0,5.0,3.0,4.0,0.5718506380654451,0.3956874720691196,0.0324618898654352,E:2N,10N,1.445207843137255,17.61606118546846,3.4594316186372973
82,3.0,3.0,3.0,4.0,3.0,3.0,0.5547625423511742,0.4185169230052742,0.0267205346435515,E:2N,10N,1.3255438713625995,20.761655773420525,3.169925001442312
83,4.0,3.0,3.0,4.0,5.0,4.0,0.52447216890595,0.425808356710468,0.0497194743835818,E:2N,10N,1.2317094313453536,10.548626577579821,3.584962500721156
84,2.0,4.0,3.0,3.0,3.0,5.0,0.5305563460443938,0.4279548472775564,0.0414888066780497,E:2N,10N,1.2397484207026488,12.78793941126036,3.0
85,3.0,3.0,4.0,3.0,4.0,3.0,0.4445644302720008,0.4884961823332867,0.0669393873947124,E:2N,10N,0.9100673584562171,6.641298159043465,3.4594316186372973
86,2.0,3.0,3.0,4.0,4.0,4.0,0.5743118133563757,0.3975435131465251,0.0281446734970991,E:2N,10N,1.4446514516379445,20.40570175438598,3.169925001442312
87,2.0,4.0,4.0,4.0,3.0,4.0,0.568185888252149,0.3959377984718242,0.0358763132760267,E:2N,10N,1.4350382571331652,15.837354409317822,3.169925001442312
88,3.0,3.0,4.0,3.0,3.0,5.0,0.5213476189194283,0.4323633133227447,0.046289067757827,E:2N,10N,1.2058091027955922,11.262867112532717,3.321928094887362
89,3.0,3.0,4.0,4.0,7.0,3.0,0.47998636540709,0.4247013374886378,0.0953122971042721,E:2N,10N,1.130173896426524,5.035933242506816,3.807354922057604
90,3.0,3.0,2.0,3.0,3.0,4.0,0.5718329794762915,0.3851827019778746,0.0429843185458338,E:2N,10N,1.4845759597717822,13.30329289428076,3.0
91,2.0,3.0,2.0,4.0,3.0,4.0,0.6261423986413552,0.3444970567493272,0.0293605446093176,E:2N,10N,1.8175551470588236,21.325980392156904,2.807354922057604
92,5.0,5.0,3.0,5.0,3.0,3.0,0.515031871917236,0.4324052139481122,0.0525629141346516,E:2N,10N,1.1910861740419227,9.798388852601803,3.4594316186372973
93,4.0,3.0,3.0,4.0,3.0,4.0,0.4678760779303736,0.4782753114021079,0.0538486106675183,E:2N,10N,0.978256804765339,8.688730723606177,3.321928094887362
